,prompt,response
26218,내담자: 최근 학교생활에서 내가 원하는 방향으로 나아가지 않는 것 같아요. 좋은 성적을 거두고 싶었는데 학교에서 내는 시험에서 쉬운 문제를 틀리고 대회에서는 기대에 미치지 못한 결과를 거두었어요. 성적이 나빠질수록 불안감이 커져서 공부도 손에 안잡혀요. 내일부터는 다시 시작해야 하는데 쉽지 않아요. 어떻게 하면 좋을까요?,"그동안 힘들었을 거에요. 내담자님의 어려움을 함께 나누고 싶습니다. 그런데, 어떤 문제가 있는지 더 자세히 이야기 해주실 수 있을까요?"
26219,"내담자: 네, 요즘 들어 학교에서 나오는 시험에서도 대회에서도 성적이 나빠져서요. 그래서 불안감이 생기고, 더 힘들어지고 있어요.",내담자님이 공부한 것에 대한 노력에 대해 말씀해주실 수 있나요?
26253,"내담자: 고맙습니다. 저는 제 가족과 부모님께서 서로 잘 지내지 못하는 상황입니다. 저희 가족의 대화조차도 잘 안되는데, 특히 부모님께서는 제가 제 역할을 충실하게 해내지 못했다는 식으로 제 자존감을 낮추는 것 같아요. 이런 상황에서 저는 많은 스트레스를 받습니다.","네, 이해하겠습니다. 가족과의 관계는 매우 중요한 문제 중 하나입니다. 꼭 해결하시고 싶은 문제군요."
26256,"내담자: 요즘 퇴근 후에 집에서 집중도 안되고 열심히 일한 결과에 대한 성취감도 없고, 회사 생활도 마음에 들지 않아요. 자신감도 없고, 불안하고, 다른 직원들보다 열심히 일해도 보상받지 못한다는 생각 때문에 스트레스도 받고요. 이게 이후에 어떤 일로 이어질지 걱정이 되기도 하고 진로도 고민되는 상황입니다. 직장생활이 이렇게 힘든 건가요? 어떻게 하면 이러한 고민을 해결할 수 있을까요?","내담자님, 혹시 고민을 시작한 계기가 있나요?"
26269,"내담자: 저의 부모님이 너무 싫어요. 제가 원하는 대로 안된다고 싫어하시고, 제 성격도 이해를 못하시고, 제 일상을 감시하시고... 그래서 최근들어 저는 부모님을 집안에서 대면하고 싶지 않아요.",이번 고민에 대해서 듣게 되어서 정말 미안해요. 그 동안 괴로웠겠죠?
26271,"내담자: 그렇게 말씀하시면, 저도 부모님의 마음을 생각하면서 행동하면 좋을 것 같아요.","네, 저도 그렇게 생각해요. 상황이 많이 어려우시겠지만, 조금 더 부모님과 이야기해보시면 좋을 것 같아요. 그리고 상황을 개선하기 위해 어떤 방법이 좋을지 함께 생각해보면서 대처해보시면 좋을 것 같아요."
26272,"내담자: 말씀하시는 것처럼, 부모님과 대화를 해봐야겠어요.",그렇게 생각하시는 것이 좋아요. 대화를 통해 부모님과의 관계를 개선하는데 도움을 받을 수 있을 거예요. 어떤 질문이든 상관없으니 말씀해주세요.
26281,"내담자: 하루하루 힘들어져서 울고 싶어지고, 자신감도 없어져서 새로운 일을 시도하는 것도 겁이 나고, 자존감도 많이 떨어졌어요. 이러다가 더 나쁜 생각을 하지 않을까 걱정되고, 어떻게 하면 좋을까요?","지금 내담자님께서 느끼고 계시는 불안감은 상당히 많은 스트레스를 초래하고 있습니다. 그러면서 더 나쁜 생각이 들 수 있을 것이라는 걱정까지 하시고 계시네요. 하지만 지금 당장 해결할 수 없는 것이라면, 일단 이것을 받아들이고 자신에게 허락해주시는 것도 좋은 선택이 될 수 있습니다. 우리는 언제나 좋은 선택과 좋은 선택을 내리는 데 어려움을 느끼게 되는 경우가 있습니다. 하지만 자신이 선택한 길에 흘러가는 것이 더욱 행복해질 수 있는 방법이 됩니다. 그렇기 때문에 내담자님께서 하고자 하시는 일이 무엇인지 자세히 살펴보고 계시는지 말씀해주실 수 있을까요?"
26285,"내담자: 저, 제 여자친구가 좋은 사람이긴 한데 친구들에게 부끄러워할 만큼 예쁘지는 않아요. 그래서 친구들에게 소개하지 못하겠고, 시간을 보내다 보면 친구들에게 눈치를 보게 되면서 불편하다는 생각이 듭니다. 그래서 아예 친구들과 약속을 잡지 않고, 집에서만 시간을 보내곤 합니다. 저도 그럴수록 이게 맞는 것인지, 여자친구가 좋은 사람이긴 한데 다른 사람들과 나를 비교해 버리게 되면서 저도 여자친구와 시간을 보내는 것이 부담스러워집니다. 저만 이런 것 같은데, 제가 잘못하는 것인지 모르겠습니다.","네, 제가 잘 들었습니다. 제 생각에는 내담자님의 어려움은 대인관계에 대한 부분이 아닌, 보다 자신에 대한 문제와 관련이 있는 것 같습니다. 여자친구가 좋은 사람이라고 말씀하셨으니, 이 문제에 대한 해결책으로 생각해볼 수 있는 방법이 많을 것 같습니다. 제가 제 생각을 드릴까요?"
26289,"내담자: 네, 그런 방법을 찾아봐야겠습니다. 여자친구와 더 좋은 시간을 보내는 방법도 찾을 수 있겠죠.",매우 좋은 선택입니다. 내담자님이 스스로 문제를 발견하고 이를 해결하려고 노력하는 것은 매우 중요합니다. 이러한 노력이 내담자님께서 더 나은 대인관계와 좋은 삶을 살 수 있도록 도와줄 것입니다.
26290,내담자: 최근 일이 잘 안 풀리고 학교도 재미없고 가슴이 답답해요. 무슨 일이 있어도 힘든데 어디로 가야할까요?,잘 알겠습니다. 혹시 이런 상황이 언제부터 시작된 건가요?
26292,내담자: 학교에 가기 전부터 그게 가장 끝장이에요. 심장이 떨리고 속이 메스꺼워지고 힘들어요.,"혹시 학교에서의 대인관계에서 문제가 있거나, 학습에 대한 불안감, 자존감에 대한 문제, 또는 우울증 등의 정신질환의 증상이 있지는 않으신가요?"
26343,"내담자: 친구가 제게 새로운 일을 맡겨줬는데, 계속해서 그 일을 하게 됐어요. 이젠 너무 힘들어서 그만두고 싶은데 친구한테 말하면 이해해주지 않을 것 같아요.",새로운 일을 맡았는데 일이 점점 많아져서 힘들어진다는 말씀이신 건가요? 그 일은 제가 좀 더 자세히 알 수 있을까요?
26344,"내담자: 저는 한 친구한테 일을 맡겨졌어요. 처음엔 배울 게 많고 즐거워서 재밌게 일하고 있었는데 점점 일이 많아지고, 쉬는 날에도 일하게 되더라구요. 이제는 그 일을 할 수 없다고 말하고 싶은데 친구한테 이야기하니 어쩔 수 없다는 듯이 대꾸해요.",일을 맡기고 계속해서 일이 생기셨다는 것 같아요. 어느 정도 일을 하게 된 시간이 지났는지요? 그리고 그 일을 맡게 된 계기가 있나요?
26345,내담자: 지금까지 1년 넘게 일을 계속하고 있어요. 그 친구가 일을 하나하나 다 알아봤는데 이 일이 제게 맡겨야 할 것 같다고 해서 한 거에요.,"1년 넘게 일을 하고 계시다니, 정말 수고가 많으셨습니다. 그러나 일의 양이 증가하면서 힘들어진다는 것이 완전히 이해가 가요. 내담자님의 기분을 이해할 수 있어요. 이 일을 더이상 할 수 없다고 말하고 싶으신 것 같은데, 친구한테 이야기하면 좀 더 이야기해보시겠어요?"
26346,"내담자: 친구한테 말을 했는데, 이 일은 내가 해야 한다는 식으로 대꾸했어요.","그렇군요. 친구한테 이 일을 포기할 의사가 있음에도 불구하고, 친구한테 대꾸받으시니 너무 답답하고 힘드시겠어요. 이런 상황에서는 내담자님께서 부정적인 감정을 느끼실 수 있으니 힘들어하시는 마음이 다 이해됩니다. 내담자님께서는 일의 양이 많다는 것을 친구한테 알려야 한다고 생각합니다. 그럼에도 불구하고 친구한테서 이 일을 맡았으니, 이 일을 하는 게 좋을까요?"
26347,"내담자: 이 일을 더 이상 못하겠다는 건 확실한데, 친구한테 말하면 나쁜 친구라고 생각할까봐 말을 못하겠어요.","내담자님의 마음을 존중해주어야 할 것 같아요. 어떤 결정이든, 자신이 존경하는 사람이 어떤 선택을 하더라도 친구가 나쁜 사람이 되는 것은 아니라는 것을 알아야 합니다. 또한, 친구한테서 대꾸를 받으셨으니, 어쩔 수 없이 이 상황에서는 내담자님이 선택하는 것이 필요합니다. 그런데 내담자님은 이 일을 더이상 못한다는 건 확실하다고 말씀하셨죠? 이 일을 할 수 없다는 말을 직접적으로 전달하지 않으면 미루다가 결국엔 불필요한 갈등과 불이익을 초래할 수 있습니다. 내담자님이 불필요한 갈등이나 불이익을 받지 않도록, 친구한테 대화를 더 해보는 것은 어떨까요? 친구한테 이 일의 양과 내담자님이 힘들어하고 있다는 것을 더 자세히 말해보시고, 적극적으로 솔직하게 말씀드리는 것이 좋을 것 같아요. 내담자님께서 이 일을 더이상 못한다는 것이 그만큼 이 일이 어렵다는 것을 보여주는 것이니, 어떤 선택을 하더라도 내담자님의 선택에 따라 친구한테 어떤 대처를 해야하는지를 고민하시면 좋을 것 같습니다."
26348,내담자: 그래요. 그렇게 말씀해주셔서 감사합니다. 저는 내일 바로 친구한테 이 일에 대해서 말해보려고요.,"내일이라도 며칠이라도 마음을 정리하고, 친구한테 솔직하게 말해보시면 좋겠네요. 그러나 친구한테서 대처가 어려워 질 수 있다면, 저희는 다른 대안들도 생각해볼 수 있으니 걱정하지 마세요. 내담자님의 안정적인 삶을 위해서 최선을 다하겠습니다."
26353,"내담자: 전 자존감이 많이 떨어져 있는 거 같아요. 과외반이 있는데, 친구들과 공부하면서 놀기도 하고 있는데, 자꾸 제외된 느낌이 들어요. 그리고 다른 친구들과 비교해서 슬프고 우울한 감정도 느끼게 되어요. 어떻게 해야 할까요?","내담자님, 과외반이라는 공간에서 같이 공부하시는 친구들과의 상호작용에서 불안감과 우울감을 느끼신다는 말씀이신가요?"
26364,내담자: 안녕하세요. 저는 친구들 사이에서 상처를 많이 받았는데요.,"아, 어려운 상황이신 것 같습니다. 자세히 얘기해 주시겠어요?"
26365,내담자: 저는 고등학교를 다녔을 때 친구들 사이에서 집단따돌림을 당하고 상처를 많이 받았어요. 이제는 대학교를 다니는데도 여전히 친구들 사이에서 배려받지 못하고 제가 이상한 인간인 것 같다는 생각이 들어요. 이러한 상황에 저는 어떻게 대처해야 할까요?,"과거의 상처로 인해, 친구들과 함께 하기 힘들고, 외로움과 적응에 어려움이 있으시군요. 이것이 지속된다면 건강이 더 악화될 수 있습니다. 그러나, 당신은 매우 용감하고, 해결책을 찾아낼 수 있는 용기 있는 사람이라는 것을 믿습니다. 먼저, 다른 관점에서 상황을 바라볼 수 있도록 노력해 보세요. 오히려 새로운 환경과 사람을 만나는 것이 여러분에게는 좋은 영향을 줄 수 있습니다. 그리고 지금의 문제들을 극복해 나가기 위해 여러 방법들이 있습니다. 무엇보다 누군가와 이야기하면서, 자신의 감정과 생각을 표현하는 것이 중요합니다. 그리고, 자신을 위한 여러 활동들을 찾아보는 것도 좋은 방법입니다. 힘들 때는 누군가에게 조언을 구하거나 응원을 받는 것이 매우 도움이 되니, 귀가 조금만 열려 있다면 주변에 찾아보시는 것도 좋을 것 같습니다. 여러분은 이미 매우 용감하고 자신감이 있으며, 어떤 일이든 극복할 수 있는 사람이라는 것을 잊지 마세요."
26393,내담자: 제가 적성에 맞는 진로를 선택하기가 어려워서요.,적성에 맞는 진로를 선택하기가 어렵다는 것은 어느 정도 이해가 되는 부분입니다. 그러면 어떤 것이 적성에 맞는 것인지 고민이 되시는 건가요?
26396,"내담자: 그렇게 찾아보는 것도 좋은 생각 같네요. 하지만, 현재 공부 중인 분야가 맞는지에 대해서도 고민이 되어요.","그렇다면 현재 공부 중인 분야에 대해서 좀 더 알아보는 것도 좋은 방법입니다. 한 분야에서는 다양한 직종들이 존재할 수 있습니다. 이에 대해서는 미리 적합한 직종이 무엇인지 파악하는 것이 좋습니다. 그리고, 실제로 일을 해보는 것이 어떤 일인지 미리 경험해보는 것도 좋은 방법입니다. 이런 부분들을 참고하시면서 진로 선택을 해보세요. 한 가지 알려드리면, 그것이 지금은 아닐 수 있지만, 더 좋은 분야가 있는 것은 아니라는 사실입니다. 그래서 노력하면서 다양한 경험을 쌓는 것이 중요하다고 생각합니다."
26414,내담자: 요즘 다른 학생들과 달리 공부를 집중해서 하지 못하고 있습니다. 강의나 교재를 보면 졸려서 집중이 잘 되지 않고 그냥 다른 것들을 봐버립니다. 그래서 공부 시간도 안 되고 학습량도 낮아집니다. 이럴 때 어떻게 하면 좋을까요?,"어떤 상황에서든지 학습은 쉽지 않은 일입니다. 저희가 함께 답을 찾아보도록 하죠. 우선 내담자님은 학습을 할 때 집중이 잘 되지 않는다고 하셨죠? 이럴 때, 보통 스트레스가 쌓인 경우가 많습니다. 내담자님이 스트레스를 느끼시는 이유가 뭔가요?"
26415,내담자: 학교에서 많이 놀아서 그런 것 같습니다.,내담자님은 놀기를 좋아하시는 타입이신가요?
26460,"내담자: 그렇습니다. 이제 대학원생인데 팀을 다시 구성했더니, 평소보다 더 떨리는 거 같아요.",일 때문에 불안해지는 기분이 드시는 것 같군요. 언제부터 불안해지기 시작하셨나요?
26484,"내담자: 안녕하세요. 저는 최근에 부모님과 인간관계가 좋지 않아요. 항상 부모님이 제 공부를 열심히 하라고 하시는데, 제가 원하는 대로 살 수 없다는 느낌이 들어요. 이게 제가 혼자서 고민하는 게 아닌가 싶기도 하고, 부모님과 서로 말이 안통하는 건가 하는 생각도 들어요.",그런 상황에서 어떻게 느끼시나요?
26485,"내담자: 많이 힘들어요. 예전에는 제가 아플 때나 힘들 때, 부모님께서 제 곁에서 늘 도와주시고 믿고 의지할 수 있는 분들이었는데, 요즘은 그게 좀 어색해졌어요. 제가 뭘 하든 자꾸 '왜 이래야 하냐', '너희 형/동생한테 배우면 어떻게 하냐' 같은 말을 하시더라고요. 그래서 부모님께 말 걸기도 어려워지고 그들과 얘기하는 것도 어색해졌어요.","그동안 잘 지내셨을 때와 비교해서, 지금은 어떤 부분에서 불편하신가요?"
26486,내담자: 요즘엔 제가 원하는 대로 살지 못하는 거 같아요. 공부를 좋아하지만 새로운 것들을 찾아보고 싶고 다양한 경험을 해보고 싶어요. 그런데 부모님께서는 내가 공부하는게 아니면 하자도 못하는 존재라고 여기시는 것 같아요. 그래서 저도 그런데 이게 부모님이랑 서로 말이 안통하는 건가요?,"부모님과의 인간관계가 어색하고 어려운 것 같네요. 그동안의 좋았던 인간관계와 비교하면 불편한 점이 많은 것 같습니다. 당신은 부모님께서 자신이 공부를 열심히 하라고 하시는데, 그걸 위해서는 자신이 원하는 일을 할 수 없는 것 같다는 느낌이 드시는 건가요? 이게 당신의 인생에서 중요한 부분이기 때문에 더 힘든 것 같습니다."
26490,내담자: 최근에 학교에서 제가 선배한테 무리하게 대우받는다는 느낌이 들어요.,어떤 상황이었나요?
26491,"내담자: 학교 동아리에서 선배들이 제가 불참했던 시간에 맡은 역할을 강요하고, 팀 활동에서 제가 하고 싶은 일보다 다른 일을 하게 만들어서 불만을 느껴요. 또 이번에는 학교 모의토익에서 저의 답을 적어주지 않고 다른 학생의 답을 적어놓으려고 했는데, 제가 이를 물어보니 ""네 답이 잘못되었으니까"" 라는 이유로 반박을 받았어요. 이제는 학교에서 선배들이 어디까지 강요해도 괜찮은지, 강요해선 안되는지 구분을 잘 못하겠어요. 무슨 일이 일어나도 참고 있는 편인데 그만큼 힘든데 무시하고 지나가는 건 정말 힘들어요. 어떻게 해야 할까요?","그러셨군요. 학교에서 선배들로부터 무리한 대우를 받아 고통스러우셨군요. 그러나 그렇다고 해서 스스로를 비난하거나 고치려는 마음으로 접근하시면 안 됩니다. 그냥 그런 건지, 이것이 고민인지 함께 생각해 볼까요?"
26510,"내담자: 저는 어렸을 때부터 가족 구성원과 계속해서 싸우곤 했어요. 제 아버지와 어머니는 늘 서로 말싸움을 하셨고, 때때로 싸우다가 서로 담배를 붙여 피우신 적도 있었고, 이것 때문에 스트레스를 받고 마음이 힘들었어요. 그래서 좀 더 멀리 있는 대학교로 가서 살기로 결심하고 2년째 대학교를 다니고 있습니다. 그런데 이번 방학에도 가족들이 서로 다투시다가 아버지가 집 밖으로 쫓겨나는 일이 발생했습니다. 아버지는 지금도 집 밖에서 생활하시고 계시는데 이게 제 마음에 상처가 되고 마음이 힘들게 만드네요. 어떻게 해야 할까요?","먼저, 너무 힘든 일을 겪고 있어서 정말 안타깝네요. 어렵고 힘든 상황에서 지금까지도 잘 버텨내고 계셨군요. 그러나 누구나 한번쯤 힘든 상황을 마주하게 됩니다. 가족의 문제를 다루는 것은 어려운 일이에요. 그러나 먼저 해야 할 일은, 자신의 감정을 적극적으로 표현하는 것입니다. 이것은 가족 구성원에게 고통스럽게 느껴질 수 있지만, 이러한 문제는 한 명이 묵묵히 견뎌내는 것이 아니라, 모든 가족 구성원이 함께 힘을 합쳐서 해결해 나가야 합니다."
26521,"내담자: 요즘에는 학교나 집에서 이야기하면 상대방이 전혀 흥미가 없어보이고, 이야기해도 소용없는 느낌이 들어서요. 때로는 짜증이 나기도 하고, 관심을 받으면 짜증나기도 해요. 그래서 혼자 있는 시간이 더 길어져서 대화하는 것조차 부담스러워져요.",내담자님이 혼자 있는 시간이 더 길어져서 부담스러워진다는 것이 심리적인 어려움을 느끼고 계시다는 건가요?
26529,"내담자: 안녕하세요. 네, 그래서요. 어제 회사에서 일을 하면서 실수를 많이해서 친구들과 같이 저녁을 먹었는데, 술이 계속 들어가서 취해버렸어요. 그리고 한 친구가 계속 나를 바라보더니 이상한 눈치를 줬어요. 그 때부터 계속 마음이 불편했는데, 그 친구가 나를 다른 친구들한테 소개했나봐요. 이번에 새로운 업무를 시작하기 전에 그 친구가 전화를 해서 만나자고 하는데, 계속 불편한 마음이 들어서 어떻게 해야 할지 모르겠어요.",그러셨군요. 불편한 마음이 들어서 어려움을 겪고 있으시군요. 어떤 것 때문에 불편하게 느끼셨나요?
26530,"내담자: 술을 마시고 나서 계속 나를 바라보더니 이상한 눈치를 줬어요. 그런데 지난번에 회사에서 업무를 할 때 이 친구와 일을 한 적이 있어서, 불편한 마음이 계속 들어요.",그렇군요. 그 분이 나를 바라보면서 눈치를 줬다는 것은 매우 불편하셨을 것 같아요. 그 때의 기분은 어떠했나요?
26547,내담자: 요즘 학교 생활에 집중이 안되요. 집중이 안 돼서 공부를 못해서 실력이 안 늘어나고 있어요. 공부해야 할 내용이 너무 많아서 어디서부터 시작해야 할지도 모르겠고 공부하는데 긴장해서 금방 지치게 되네요. 또 수업시간에는 다른 생각만 하고 시간이 지나가버립니다. 이런 경우 어떻게 해야 하나요?,그러셨군요. 지금 내담자님의 마음이 어떤 기분인가요?
26553,내담자: 그렇군요. 그럼 어떻게 공부할까요?,"공부할 때는 일정한 시간을 두고 집중해서 공부하는 것이 좋아요. 그리고 공부할 때는 동영상이나 인강을 활용해서, 흥미를 유발할 수 있는 자료를 활용해보세요. 어려운 내용이나 관심이 없는 내용은 일단 넘어가고, 그다음에 보는 것도 좋습니다."
26563,"내담자: 엄마가 제가 하려는 것은 항상 잘못되어 있고, 그래서 저에게 끊임없이 지적을 합니다. 이것 때문에 제가 너무 스트레스 받고 있어요. 예를 들면, 대학교를 나와서 3년 동안 꿈을 쫓았었는데, 그 과정에서 많은 일이 있었어요. 그러다 보니 지금은 취업 준비를 하고 있지만, 엄마는 취업을 하지 않고, 다른 것을 해야 한다고 생각하고 있어요. 그리고, 집에서 일을 하는 것도 금지시키고 있어요. 저는 그냥 엄마가 이렇게 하려면 뭐라고 할 수 없다고 생각하면서 살아야 하는데 어려운 것 같아요.","네, 이해했습니다. 그런 엄마의 행동으로 인해 내담자님은 정말 어려움을 겪고 있는 거군요. 그러나 지금은 다른 사람들도 많은 고민을 가지고 있으니까요. 하지만, 내담자님에게 주어진 고민은 내담자님 자신의 문제입니다. 그러므로 제가 가능한 모든 방법으로 도와드리겠습니다."
26574,"내담자: 요즘 학교에서 어떻게 할지 모르겠어요. 친구들끼리 무언가를 하면 외면받거나 따돌림을 당하는 경우가 많아서, 말할 사람이 없어요. 이런 상황에서는 어떻게 해야 하나요? 제가 잘못한 건가요?","학교에서 친구들과의 문제로 고민하고 계시군요. 어려운 상황이시군요. 제가 이해하기에, 당신은 친구들이 자신을 외면하거나 따돌린다는 생각에 불안감을 느끼시는 것 같아요. 맞나요?"
26575,"내담자: 그렇습니다. 제가 말한 것과 같이, 친구들 끼리 무언가를 할 때 항상 제가 따로 빠져서, 그들의 대상이 되는 것 같아요. 이러한 상황에서는 저는 어떻게 대처해야 할까요?","무언가를 할 때 친구들이 불편하게 느끼시는 것 같군요. 저는 이러한 문제는 깊은 심리적인 요인이 있을 수도 있다고 생각합니다. 당신의 성격, 행동, 언어, 의도 등이 친구들에게 거부감을 주는 것일 수도 있습니다. 하지만, 처음에는 친구들과 이야기를 나누어보는 것도 좋을 것 같습니다. 혹시, 이 친구들이 왜 그런 행동을 하는지, 어떤 이유 때문에 그러는지 등을 알아보는 것도 좋겠죠. 만약, 대화를 했음에도 친구들의 태도가 바뀌지 않는다면, 당신의 마음이 더욱 상처 받을 수 있기 때문에, 조금 더 고민해보아야겠죠. 당신은 그런 상황에서 완벽하지 않아도 됩니다. 당신에게는 다른 친구들과 연락할 수 있는 방법도 있으니, 그들과 함께 시간을 보내보는 것도 좋겠습니다."
26578,"내담자: 가끔 친구들과의 모임이나 회사에서 다른 사람들이 있으면 말이나 행동이 서투릅니다. 부끄러워서 눈치를 보다보면 누군가 말을 걸어주긴 하지만, 그래도 기존에 잘 알던 친구들과는 다르게 대화가 잘 안 통하고 말을 거는데도 기분이 나쁘고 불안합니다. 일부러 억지로 웃거나 조언하려면 떠오르는 말도 떨어져서, 결국 말을 많이 못하면서 그냥 있다가 모임이 끝나버립니다. 이러다보면 사람들이 나를 싫어하거나 내가 이상하게 보이는 것 같아서 걱정됩니다. 어떻게 하면 나도 말을 잘할 수 있을까요?",저도 그런 느낌을 종종 가지곤 합니다. 저는 이럴 때 내 자신에 대한 자신감을 가져보려 합니다. 무슨 일을 하든지 내 자신이 마음 편하게 하며 가면 어디든 편안하게 대화할 수 있을 것이라 생각합니다. 한번 이를 실천해보시겠어요?
26581,"내담자: 그런데, 그렇게 해서 친구들이 만들어졌다고 해도, 상황이 나빠지면 어떻게 대처해야할지 모르겠어요.","불쾌한 상황에서 어떻게 대처해야 할지 모르시겠다면, '다른 사람들이 불쾌하게 느낄만한 행동'을 하지 않으면 됩니다. 자신의 생각이나 감정을 조절하는 것도 중요하지만, 다른 사람들의 생각이나 감정에 대해서도 이해하는 것이 중요합니다. 그래서 다른 사람들이 말하는 이야기에는 항상 주의를 기울이는 것이 중요합니다. 다른 사람의 말을 귀 기울여 듣고, 그들이 무엇을 느끼고 있는지 이해해보세요. 그러면 자연스럽게 대화할 수 있게 될 거예요."
26589,내담자: 맞습니다. 자존감이 떨어지는 것 같아요.,"그렇다면 자신을 비판하지 않고 긍정적인 자세를 가질 수 있는 긍정적인 말을 사용하는 것이 도움이 될 것입니다. 이번 상황에서 당신이 자랑스러운 부분을 찾아보고, 자신이 갖고 있는 장점을 살리는 것이 도움이 될 것입니다. 예를 들면, 어떤 일을 잘한다면 그 일에서 더욱 발전해 나갈 수 있도록 노력해보세요. 이러한 방식으로 자신의 능력을 발휘해 나갈 수 있도록 노력해 보세요. 어떠한 생각이 드시나요?"
26606,"내담자: 어머니와도, 아버지와도, 할머니와도 사이가 좋지 않아요. 가족들과 같이 있으면 예전처럼 그럴싸하게 웃지도 못하고 어색하고 그림자처럼 있게 되요. 고등학교를 졸업하고 입시에 실패하면서 그때부터 가족들과 사이가 나빠졌어요. 내가 가족들에게 실망을 준 것 같아요. 제 어머니는 전공을 결정하라고 압박하고, 그렇게 된 이후로 제 어머니가 매일같이 울면서 ""나만 이렇게 살고 있어?"" 라고 하고 아버지는 제가 아무것도 하지 않는다며 자꾸 트집을 잡아요. 할머니는 늙어가시니까 말을 안하시지만 그래도 슬퍼하시고 웃지도 못하시는 것 같아요. 저도 형제들과 잘 지내지 못하고 있어요. 지금 형은 대학교를 다니고 있지만, 본인도 알지만 제 자신도 모르는 사이에 서로 멀어졌더라고요. 동생은 고등학생인데, 그러니까, 어려운 시기라서 그런 것일지도 모르지만 저랑은 말도 안하고, 같이 있으면 이상한 분위기가 흐르더라고요. 정말 가족들과 함께 있으면 힘들어지고 내가 가족들에게 실망한 것 같아서 마음이 아프네요.","어려운 상황이시군요. 정말 고통스러우셨을 거예요. 그동안 상처를 받으시면서 내심 힘들었을텐데, 그런 기억을 나눠주셔서 고맙습니다. 그러면, 가족들과의 관계를 개선하기 위해 어떤 노력을 하셨나요?"
26613,"내담자: 제가 언제나 어색한 상황을 맞닥뜨리면 정말 당황하고, 어떻게 대처해야 할지 몰라서 고민이 많아요. 모든 학생들이 자신만의 집단을 형성해 있어서, 친한 친구 없이 혼자 앉아있는 경우가 많아서 어색해요. 교실에서는 자신을 어필하면서 적극적으로 대화를 걸어봐야겠다고 생각해도, 대화하려는 상대방이 너무 바쁘거나 산만해 보이면 말을 주저하게 됩니다. 또한 내가 먼저 말을 걸어도 적극적인 상대방이 아니면 대화가 잘 안되어서 더 어색해집니다. 특히 신입생으로 학교를 와서 이런 상황들이 자주 생겨서 참 많이 힘들어요. 어떻게 해야 할까요?","그런 걱정 많이 하시는 것 같아요. 저도 한번 신입생으로 학교를 와서 이런 고민들이 많았었어요. 학교생활에서 친구 만들기는 참 힘들어요. 하지만 어색한 상황이 당연히 있을 수 있는 것이고, 그 상황에서 자신을 이끌어낼 방법을 생각해 볼 수 있어야 해요. 그래야 상황에 대처할 수 있죠. 자신감을 가지고 친구를 사귀는 방법을 같이 생각해 볼까요?"
26627,내담자: 요즘 집에서 직장과 학교 생활에서의 스트레스 때문에 잠이 잘 안와요.,"이러한 고민은 일상생활에서 매우 빈번하게 나타나는 일이에요. 괜찮아진다는 말로만 사소하게 지나치지 않고, 이 고민이 무엇 때문에 나타나는지 차근차근 알아볼 필요가 있어요. 이 상황에 대해서 좀 더 자세히 이야기해볼까요?"
26629,"내담자: 과제를 해야하는데, 집에서 바로 집중이 안돼요. 밖에서 공부하려고 해도 노트북을 꺼내면 또 유튜브를 보거나 온라인 쇼핑을 하다가 시간을 많이 낭비하게 돼요.","이러한 상황은 스트레스와 관련된 문제로 자주 나타나는 현상입니다. 이럴 때는 무엇보다도 천천히, 하나씩 해결해나가는 것이 중요합니다. 예를 들어 집중을 돕기 위한 여러가지 방법을 찾아보시는 것도 좋을 것 같아요. 방법은 많으니, 일단 스마트폰, 테블릿 등을 이용해서 집중하기 좋은 플래너나 어플리케이션을 이용하는 방법을 추천해드립니다."
26665,"내담자: 제가 지금 고민이 있는데, 학교에서 친한 친구가 말도 없이 사라졌습니다. 어디에 있는지도 모르고, 전화도 받지 않고, SNS 메세지도 안 읽습니다. 그냥 사라져버린 거 같아요. 같은 반 친구인데 이유를 모르겠다고 하지만, 저는 제 생각 때문에 친구가 어딘가 떠나버린 것 같은 불안감을 느끼고 있습니다. 제 잘못이었다면 어떻게 해야 할까요?","안녕하세요. 어려운 상황이신 것 같습니다. 그래서 저희 상담소를 찾아오셨나봐요. 그런데, 지금 어떤 생각을 하시나요?"
26666,"내담자: 먼저 저한테 잘못이 있었다는 생각이 들어서 많이 미안해요. 그리고 학교에서도 새로 친구를 사귀기 어려우니까, 이번 일로 인해 정말 외로워졌어요. 친구랑 지내는 걸 좋아하는데, 이번 일로 인해 친구들에 대한 불신이 생겼어요. 왜 친구들이 이렇게 사라지는 걸까요?","내담자님의 고민에 대해서 말씀해주셔서 감사합니다. 학교에서 친한 친구가 사라진 일에 대해서 그리고 친구와 대화를 하기 어려운 상황에 대해서 외로움과 불안감이 커진 것 같아요. 친구랑 지내는 걸 좋아하는 내담자님께서는 이번 일로 인해 친구들에 대한 불신도 생긴 것 같아서 괴로워지는 기분이라고 하셨네요. 그렇다면, 이러한 불안감을 해결하기 위해 어떤 조치를 취할 수 있을까요?"
